Dataset,ave_n_neighbors,n_observations,n_features,n_classes,Endpoint,Imbalance,Task,Metadata,seed,n_neighbors,p,weight,score,
,,,,,,,,,7,6,1,d,0.6275,
,,,,,,,,,8,6,1,d,0.6275,
,,,,,,,,,9,6,1,d,0.6275,
,,,,,,,,,10,6,1,d,0.6275,
,,,,,,,,,,,,,,
backache,44.5,180,32,2,binary,0.52,classification,,1,45,2,d,0.8222,
,,,,,,,,,2,38,2,u,0.8222,
,,,,,,,,,3,41,2,d,0.8222,
,,,,,,,,,4,25,2,d,0.8222,
,,,,,,,,,5,45,2,d,0.8222,
,,,,,,,,,6,38,2,u,0.8222,
,,,,,,,,,7,41,2,d,0.8222,
,,,,,,,,,8,25,2,d,0.8222,
,,,,,,,,,9,47,2,d,0.8222,
,,,,,,,,,10,100,1,d,0.8222,
,,,,,,,,,,,,,,
balance_scale,96.9,625,4,3,categorical,0.15,classification,,1,99,1,d,0.8917,
,,,,,,,,,2,95,1,d,0.898,
,,,,,,,,,3,95,1,d,0.898,
,,,,,,,,,4,99,1,d,0.8917,
,,,,,,,,,5,99,1,d,0.8917,
,,,,,,,,,6,95,1,d,0.898,
,,,,,,,,,7,95,1,d,0.898,
,,,,,,,,,8,99,1,d,0.8917,
,,,,,,,,,9,95,1,d,0.898,
,,,,,,,,,10,98,1,d,0.8917,
,,,,,,,,,,,,,,
biomed,1.6,209,8,2,binary,0.08,classification,,1,2,2,d,0.9245,
,,,,,,,,,2,1,2,d,0.9245,
,,,,,,,,,3,2,2,d,0.9245,
,,,,,,,,,4,2,2,d,0.9245,
,,,,,,,,,5,2,2,d,0.9245,
,,,,,,,,,6,1,2,d,0.9245,
,,,,,,,,,7,2,2,d,0.9245,
,,,,,,,,,8,2,2,d,0.9245,
,,,,,,,,,9,1,2,d,0.9245,
,,,,,,,,,10,1,2,d,0.9245,
,,,,,,,,,,,,,,
breast_cancer_wisconsin,5,569,30,2,binary,0.06,classification,,1,5,1,u,0.951,
,,,,,,,,,2,5,1,u,0.951,
,,,,,,,,,3,5,1,u,0.951,
,,,,,,,,,4,5,1,u,0.951,
,,,,,,,,,5,5,1,u,0.951,
,,,,,,,,,6,5,1,u,0.951,
,,,,,,,,,7,5,1,u,0.951,
,,,,,,,,,8,5,1,u,0.951,
,,,,,,,,,9,5,1,u,0.951,
,,,,,,,,,10,5,1,u,0.951,
,,,,,,,,,,,,,,
breast_cancer,29,286,9,2,binary,0.16,classification,,1,29,1,d,0.7361,
,,,,,,,,,2,29,1,d,0.7361,
,,,,,,,,,3,29,1,d,0.7361,
,,,,,,,,,4,29,1,d,0.7361,
,,,,,,,,,5,29,1,d,0.7361,
,,,,,,,,,6,29,1,d,0.7361,
,,,,,,,,,7,29,1,d,0.7361,
,,,,,,,,,8,29,1,d,0.7361,
,,,,,,,,,9,29,1,d,0.7361,
,,,,,,,,,10,29,1,d,0.7361,
,,,,,,,,,,,,,,
breast_w,5,699,9,2,binary,0.1,classification,,1,5,2,d,0.96,
,,,,,,,,,2,5,2,d,0.96,
,,,,,,,,,3,5,2,d,0.96,
,,,,,,,,,4,5,2,d,0.96,
,,,,,,,,,5,5,2,d,0.96,
,,,,,,,,,6,5,2,d,0.96,
,,,,,,,,,7,5,2,d,0.96,
,,,,,,,,,8,5,2,d,0.96,
,,,,,,,,,9,5,2,d,0.96,
,,,,,,,,,10,5,2,d,0.96,
